data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7002829,682,SAU22794,22794,"28 March 2020",2020,1,"Strategic developments","Disrupted weapons use","Military Forces of Saudi Arabia (2015-)",,1,"Military Forces of Yemen (2016-) Supreme Political Council",,8,18,"Middle East","Saudi Arabia","Ar Riyad","Ar Riyad",,Riyadh,24.6877,46.7219,2,"26 September News Pro-Hadi",Regional,"On 28 March 2020, two pro-Houthi ballistic missiles were reportedly launched at Jizan (Jazan, Jizan) and Riyadh (Ar Riyad, Ar Riyad) cities in Saudi Arabia. The missiles were intercepted by the Saudi Air Defense forces and debris reportedly fell over neighbourhoods in Riyadh and Jizan, injuring two civilians slightly.",0,1585593786,SAU
7002830,682,SAU22796,22796,"28 March 2020",2020,1,"Strategic developments","Disrupted weapons use","Military Forces of Saudi Arabia (2015-)",,1,"Military Forces of Yemen (2016-) Supreme Political Council",,8,18,"Middle East","Saudi Arabia",Jizan,Jazan,,Jizan,16.8892,42.5511,2,"26 September News Pro-Hadi",Regional,"On 28 March 2020, two pro-Houthi ballistic missiles were reportedly launched at Jizan (Jazan, Jizan) and Riyadh (Ar Riyad, Ar Riyad) cities in Saudi Arabia. The missiles were intercepted by the Saudi Air Defense forces and debris reportedly fell over neighbourhoods in Riyadh and Jizan, causing no injuries or fatalities.",0,1585593786,SAU
7002584,682,SAU22795,22795,"28 March 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Saudi Arabia (2015-)",,1,,,0,10,"Middle East","Saudi Arabia",Jizan,"Al Harth",,"Wadi al Jarah",16.8165,43.2147,1,"Al Motamar; Yemen Data Project","Local partner-Regional","On 28 March 2020, 1 Saudi-led coalition airstrike reportedly targeted Wadi al Jarah area (Al Harth, Jizan). No fatalities nor injuries reported.",0,1585593785,SAU
7002582,682,SAU22792,22792,"27 March 2020",2020,1,"Strategic developments","Disrupted weapons use","Military Forces of Saudi Arabia (2015-)",,1,"Military Forces of Yemen (2016-) Supreme Political Council",,8,18,"Middle East","Saudi Arabia",Asir,Abha,,Abha,18.2164,42.5053,1,"Al Arabiya; Yemen Data Project","Local partner-Regional","On 27 March 2020, Saudi-led coalition forces reportedly intercepted and destroyed pro-Houthi unmanned drones directed against civilian targets in Abha and Khamis Mushait cities (Asir).",0,1585593785,SAU
7002583,682,SAU22793,22793,"27 March 2020",2020,1,"Strategic developments","Disrupted weapons use","Military Forces of Saudi Arabia (2015-)",,1,"Military Forces of Yemen (2016-) Supreme Political Council",,8,18,"Middle East","Saudi Arabia",Asir,"Khamis Mushait",,"Khamis Mushait",18.3,42.7333,1,"Yemen Data Project; Al Arabiya","Local partner-Regional","On 27 March 2020, Saudi-led coalition forces reportedly intercepted and destroyed pro-Houthi unmanned drones directed against civilian targets in Abha and Khamis Mushait cities (Asir).",0,1585593785,SAU
7002580,682,SAU22790,22790,"26 March 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Saudi Arabia (2015-)",,1,,,0,10,"Middle East","Saudi Arabia",Jizan,"Al Harth",,"Wadi al Jarah",16.8165,43.2147,1,"Al Masirah; Yemen Data Project","Local partner-Regional","On 26 March 2020, 5 Saudi-led coalition airstrikes reportedly targeted Wadi al Jarah area (Al Harth, Jizan). No fatalities nor injuries reported.",0,1585593785,SAU
7002581,682,SAU22791,22791,"26 March 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Saudi Arabia (2015-)",,1,,,0,10,"Middle East","Saudi Arabia",Najran,Najran,,"Ash Shurfah",17.5235,44.3095,1,"Yemen Data Project; Al Masirah","Local partner-Regional","On 26 March 2020, 2 Saudi-led coalition airstrikes reportedly targeted Ash Shurfah area (Najran). No fatalities nor injuries reported.",0,1585593785,SAU
7002876,682,SAU22789,22789,"24 March 2020",2020,1,"Strategic developments",Other,"Government of Saudi Arabia (2015-)",,1,"Civilians (Saudi Arabia)","Prisoners (Saudi Arabia)",7,17,"Middle East","Saudi Arabia",Makkah,Makkah,,"Al Shumaisi Prison",21.45,39.6167,1,"Middle East Monitor",Regional,"On 24 March 2020, the government of Saudi Arabia released hundreds of prisoners from the Al Shumaisi prison (Makkah, Makkah) to combat the spread of coronavirus.",0,1585593786,SAU
6992251,682,SAU22788,22788,"14 March 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Saudi Arabia (2015-)",,1,,,0,10,"Middle East","Saudi Arabia",Jizan,"Al Harth",,"Wadi al Jarah",16.8165,43.2147,1,"Ansar Allah; Yemen Data Project","Local partner-Regional","On 14 March 2020, 2 Saudi-led coalition airstrikes reportedly targeted Wadi al Jarah area (Al Harth, Jizan). No fatalities no injuries reported.",0,1584367890,SAU
6980994,682,SAU22784,22784,"07 March 2020",2020,1,"Strategic developments",Arrests,"Police Forces of Saudi Arabia (2015-)",,1,"Civilians (Yemen)","Government of Saudi Arabia (2015-); Police Forces of Saudi Arabia (2015-); Military Forces of Saudi Arabia (2015-) National Guard",7,17,"Middle East","Saudi Arabia","Ar Riyad","Ar Riyad",,Riyadh,24.6877,46.7219,3,"Twitter; Wall Street Journal","New media-International","On 7 March 2020, Saudi police forces on the command of Muhammad bin Salman reportedly arrested former crown prince Muhammad bin Nayef, Ahmad bin Abdel Aziz, Nawad bin Nayef and several police, national guard and royal guard officers who considered themselves to be loyal to the arrested.",0,1583777321,SAU
